,matricola,nome,cognome,qualifica,dipartimento,data_assunzione,data_di_nascita,classe_laurea,data_laurea,classe_dottorato,data_dottorato
812,827107,Alberico,Forza,Knowledge of talent management and succession planning, Incident Response,2021-11-11 22:03:37,1996-07-09 18:48:18,,,,
813,583242,Gian,Gabbana,"Strong understanding of data privacy regulations (e.g., GDPR)", Internal Audit,2015-11-26 18:34:43,2002-10-17 22:29:38,,,,
814,941767,Ivan,Tutino,Strong attention to quality and accuracy, Network Operations,2017-10-07 04:28:52,1997-09-03 05:58:42,Associate of Nursing (AN),2023-01-20 11:18:01,Public Health,2025-08-27 05:58:42.367528
815,77227,Liberto,Babato,Leadership qualities, Media Relations,2016-08-02 20:25:45,1997-10-22 03:20:04,Diploma in Hospitality Management,2022-02-16 13:28:47,Computer Science,2025-10-15 03:20:04.662907
816,903395,Gino,Vergassola,Ability to multitask and prioritize effectively, Web Development,2022-06-05 01:37:30,2001-04-11 06:17:47,Bachelor of Fine Arts (BFA),2021-08-31 20:34:09,,
817,149587,Rembrandt,Giannini,Strong understanding of software testing methodologies, Finance,2016-10-12 12:57:21,1996-11-06 07:23:23,Doctor of Pharmacy (PharmD),2021-10-27 04:01:30,,
818,438585,Giulio,Gioberti,Team player with strong collaboration abilities, Sales,2022-07-11 01:31:33,1993-11-23 00:54:09,Master of Science (MS),2017-09-18 01:44:37,,
819,153554,Arnulfo,Vecoli,Strong decision-making abilities, Change Management,2022-07-19 12:02:36,1999-05-30 12:59:14,Master of Computer Science (MCS),2022-06-20 13:03:45,,
820,655705,Pasqual,Veltroni,Ability to develop and maintain vendor relationships, Legal,2015-08-29 20:41:43,2002-10-21 07:34:55,Certificate in Web Development,2023-07-05 12:12:43,,
821,672252,Azeglio,Baglioni,Team player with strong collaboration abilities, E-commerce,2022-10-15 18:26:22,1996-01-06 22:55:59,Certificate in Culinary Arts,2022-03-30 02:39:45,,
822,319550,Eugenia,Camanni,Strong understanding of change control and configuration management, Claims and Insurance,2018-09-15 15:32:46,1994-06-25 07:13:19,,,,
823,688580,Alberico,Piccio,Adaptability and flexibility, Internal Communications,2021-10-19 07:38:10,1994-10-27 00:40:31,,,,
824,248516,Calcedonio,Barozzi,Bachelor's degree in a relevant field, Employee Relations,2019-05-19 16:49:23,1994-02-10 16:26:08,Bachelor of Arts (BA),2015-06-09 00:55:18,,
825,158119,Martino,Leone,Experience with customer service management tools, User Experience,2017-06-01 23:38:16,1993-12-19 08:25:51,Associate of Science (AS),2014-06-14 23:23:16,,
826,956505,Alfredo,Nolcini,Knowledge of agile software development methodologies, Customer Service,2015-03-06 17:14:35,2000-09-10 06:15:36,,,,
827,569927,Alderano,Sobrero,Knowledge of supply chain management principles, Data Science,2016-02-05 11:00:45,1997-09-14 16:35:26,,,,
828,580747,Angelo,Redi,Ability to work in a fast-paced environment, Corporate Governance,2020-09-24 22:27:35,1996-07-19 23:42:34,,,,
829,975117,Aria,Napolitano,Excellent problem-solving abilities, Compensation and Benefits,2015-10-04 02:44:03,2000-08-20 08:36:47,Bachelor of Nursing (BN),2023-05-12 22:28:23,,
830,697167,Viridiana,Lopresti,Ability to develop and deliver effective presentations, Marketing,2016-08-29 20:59:32,1999-04-23 06:17:24,Master of Business Administration (MBA),2020-02-25 05:40:32,,
831,942537,Giovanna,Riccati,"Strong understanding of IT service management frameworks (e.g., ITIL)", Training and Education,2016-10-16 06:29:23,2000-04-12 19:39:49,,,,
832,214615,Rodolfo,Fornaciari,Strong understanding of data governance and data quality management, Graphic Design,2019-05-19 01:50:42,2002-12-17 14:43:43,Master of Engineering (ME),2022-12-26 23:56:39,,
833,554651,Ranieri,Fabrizi,Creative thinking and innovation, Compliance,2022-02-07 23:49:40,1993-09-28 18:43:34,Diploma in Hospitality Management,2022-04-13 04:48:15,Physics,2022-05-23 19:36:11.000000
834,678302,Vincenzo,Bassi,Experience with e-commerce platforms and technologies, Social Media Management,2019-09-05 13:55:08,2001-03-23 23:24:23,Diploma in Fashion Design,2021-10-21 14:24:44,Public Health,2029-03-16 23:24:23.853518
835,295559,Lina,Borgia,Strong negotiation and conflict resolution skills, Sustainability,2019-07-04 23:34:50,1996-05-07 17:37:07,Bachelor of Fine Arts (BFA),2022-09-19 07:12:40,,
836,469182,Annamaria,Ruggieri,Strong attention to quality and accuracy, Branding and Advertising,2016-10-03 22:37:23,1994-12-14 08:37:07,Associate of Computer Science (ACS),2018-12-08 01:27:46,,
837,404298,Filippo,Celentano,Analytical and critical thinking skills, Customer Service,2017-06-22 01:15:02,2002-02-28 20:53:07,Associate of Science (AS),2023-06-16 22:37:21,,
838,805367,Gioele,Fallaci,Strong understanding of data visualization techniques, Sales Enablement,2016-06-13 23:43:22,1998-01-22 12:07:37,Master of Fine Arts (MFA),2022-06-02 15:11:15,,
839,516837,Gianpietro,Bersani,"Knowledge of sustainability reporting frameworks (e.g., GRI)", Branding and Advertising,2021-01-12 04:34:04,1999-11-28 17:45:46,Doctor of Philosophy (PhD),2021-01-27 06:54:40,,
840,816273,Nina,Gregori,Ability to conduct market research and analysis, Financial Planning and Analysis,2018-01-10 17:12:49,1996-04-03 16:29:38,Bachelor of Fine Arts (BFA),2023-03-25 22:25:38,,
841,99558,Francesca,Sforza,Ability to conduct market segmentation and targeting, Software Testing,2022-10-03 19:57:22,2002-09-20 17:39:02,Master of Business Administration (MBA),2023-02-10 18:43:19,,
842,34686,Ronaldo,Monicelli,Strong understanding of IT security and risk management, Manufacturing Engineering,2019-11-23 12:07:35,1994-01-14 16:08:46,Master of Science (MS),2023-02-13 05:47:18,,
843,797774,Evangelista,Bartoli,Strong understanding of digital marketing strategies, Facilities Management,2021-10-22 19:06:54,1994-01-17 10:53:55,,,,
844,991071,Imelda,Comboni,Strong understanding of organizational development principles, Competitive Intelligence,2020-07-28 05:04:36,1994-09-12 10:31:39,Associate of Architecture (AArch),2015-01-06 01:53:35,,
845,159387,Giuliana,Bosurgi,Knowledge of lean manufacturing principles, Corporate Training,2016-06-11 21:37:06,1995-03-31 17:33:16,,,,
846,392233,Sole,Giradello,Knowledge of intellectual property laws and regulations, Facilities Management,2016-03-29 10:23:31,1997-02-09 00:18:21,,,,
847,643776,Romina,Ricolfi,Analytical and critical thinking skills, Intellectual Property,2015-02-20 12:26:48,1996-03-11 07:17:00,Master of Social Work (MSW),2023-01-22 11:23:11,,
848,801181,Letizia,Boaga,Knowledge of market trends and competitive analysis, Social Media Management,2016-07-14 09:55:17,1996-11-25 07:44:15,Associate of Computer Science (ACS),2022-03-07 15:05:58,,
849,833551,Paride,Fanucci,Knowledge of talent acquisition and recruitment strategies, Customer Success,2021-12-30 18:27:46,1996-06-25 01:57:34,,,,
850,975131,Evangelista,Verri,Strong project coordination and scheduling skills, Tax,2021-04-13 17:19:18,1998-04-25 17:59:15,Associate of Engineering (AE),2020-05-29 20:19:43,,
851,49898,Antonio,Bernardi,Master's degree or higher, Communications,2019-11-23 20:24:03,1997-01-17 05:30:30,,,,
852,349881,Vittoria,Amaldi,Experience with process improvement and optimization, Workplace Culture,2016-03-12 14:14:57,1998-06-25 13:06:50,,,,
853,500332,Durante,Cuda,Ability to manage and resolve conflicts, Learning and Development,2016-05-01 00:12:52,1993-07-25 20:34:07,Bachelor of Social Work (BSW),2019-04-02 00:35:17,,
854,275947,Dolores,Emo,Bachelor's degree in a relevant field, Employee Relations,2017-02-24 02:54:11,2001-11-26 12:29:44,,,,
855,490004,Giorgio,Faugno,Strong understanding of organizational development principles, Customer Success,2016-01-01 04:09:13,1997-02-10 16:09:28,Certificate in Digital Marketing,2019-06-24 00:20:10,,
856,37757,Flora,Totino,Experience with ERP systems and implementation, Data Management,2018-07-12 00:04:55,2000-11-15 08:55:07,,,,
857,625175,Tiziana,Toselli,Ability to conduct market research and analysis, Design,2023-04-06 16:39:08,1994-09-06 17:18:30,Master of Engineering (ME),2018-12-03 22:41:32,,
858,670687,Giampiero,Tonisto,Proficient in Microsoft Office Suite, Engineering Design,2017-12-05 23:29:03,1996-06-21 15:13:09,,,,
859,565641,Lodovico,Opizzi,Knowledge of organizational culture and employee engagement, Market Expansion,2020-11-21 13:37:21,1995-05-03 01:39:07,,,,
860,948042,Giulio,Modigliani,Ability to develop and implement sustainability initiatives, Sales Enablement,2019-09-24 18:02:22,2001-11-17 19:04:13,Doctor of Medicine (MD),2022-05-15 10:08:23,,
861,26416,Lazzaro,Florio,Adaptability and flexibility, Internal Audit,2018-05-05 18:21:25,1995-01-06 00:22:38,Associate of Nursing (AN),2015-05-15 00:53:02,,
862,545745,Pierangelo,Pasqua,Ability to interpret and analyze financial statements, Intellectual Property,2017-03-14 04:10:21,1998-12-21 03:44:34,Associate of Nursing (AN),2022-06-13 11:15:18,,
863,686179,Alphons,Goldoni,Experience with quality assurance and control processes, User Experience,2019-06-24 00:27:06,1994-09-21 18:57:13,Doctor of Philosophy (PhD),2016-03-27 17:09:04,,
864,859290,Maurizio,Cignaroli,Ability to develop and execute social media strategies, Health and Safety,2019-07-23 20:58:45,1994-09-22 16:15:49,,,,
865,355686,Annibale,Pizzetti,Knowledge of intellectual property laws and regulations, Facilities Planning,2017-07-05 05:27:51,1993-12-11 01:46:00,Bachelor of Fine Arts (BFA),2016-02-23 09:02:59,,
866,698698,Saverio,Fogazzaro,Ability to interpret and analyze financial statements, Legal,2020-09-19 04:01:59,1999-05-24 05:30:55,Associate of Education (AEd),2020-02-26 11:23:55,,
867,27449,Sabatino,Tutino,Strong understanding of change management principles, Regulatory Affairs,2018-04-25 21:27:28,1998-12-26 17:55:07,,,,
868,413096,Federica,Callegari,Knowledge of supply chain management principles, Claims and Insurance,2019-06-21 15:48:28,2002-01-25 09:56:56,,,,
869,3963,Pierangelo,Fanucci,Strong decision-making abilities, Talent Acquisition,2017-07-30 09:25:25,1997-09-04 09:29:20,,,,
870,983131,Orazio,Carli,Ability to conduct competitive intelligence and analysis, Information Security,2017-04-19 01:46:40,1995-10-31 11:21:41,Master of Arts (MA),2016-09-05 14:22:38,,
871,549008,Massimiliano,Treves,Bachelor's degree in a relevant field, Software Engineering,2023-01-16 14:15:28,1996-01-26 22:54:09,Doctor of Pharmacy (PharmD),2023-01-07 13:53:04,Sociology,2024-01-19 22:54:09.420728
872,522358,Vittoria,Franceschi,Strong decision-making abilities, Data Science,2015-09-07 16:32:31,1999-05-11 16:39:00,,,,
873,608120,Michela,Rossetti,Knowledge of software development methodologies, Product Support,2017-04-27 19:54:00,1993-08-07 08:48:07,,,,
874,510120,Loretta,Comencini,Ability to develop and implement strategic plans, Social Media Management,2020-01-24 16:52:07,1997-05-09 04:02:33,Master of Education (MEd),2022-11-29 01:26:09,,
875,765723,Roman,Ferretti,Ability to conduct market research and analysis, Corporate Social Responsibility,2017-03-03 06:30:34,2002-10-03 05:36:29,Master of Fine Arts (MFA),2023-07-09 15:32:11,Philosophy,2030-09-26 05:36:29.675586
876,427823,Goffredo,Brancaccio,Knowledge of industry-specific software or tools, Regulatory Affairs,2021-03-10 20:01:38,2002-10-26 08:08:34,Associate of Applied Science (AAS),2023-03-03 12:22:25,,
877,862969,Leonardo,Cammarata,Strong understanding of data visualization techniques, Corporate Governance,2018-02-09 02:02:21,1995-12-08 03:47:53,,,,
878,350759,Gian,Dallara,Experience with e-commerce platforms and technologies, Business Intelligence,2018-10-03 09:38:42,1995-06-04 03:58:44,,,,
879,58805,Ippazio,Dalla,Ability to develop and implement strategic plans, Competitive Intelligence,2016-10-27 00:06:10,1996-10-05 02:55:49,,,,
880,874055,Ferdinando,Gulotta,Excellent customer service skills, Data Science,2015-04-27 16:51:21,1998-01-23 04:25:24,Certificate in Medical Assisting,2021-03-30 21:46:15,,
881,731756,Alessandro,Adinolfi,Knowledge of marketing strategies and techniques, Incident Response,2020-12-04 07:02:36,2002-05-25 15:57:05,Associate of Education (AEd),2023-01-13 01:21:41,,
882,960504,Damiano,Cattaneo,Experience with customer experience (CX) design and optimization, Branding and Advertising,2022-10-25 00:43:01,1994-05-08 06:02:52,,,,
883,602553,Virginia,Maderno,Strong sales and negotiation skills, Competitive Intelligence,2022-10-10 20:14:38,1995-01-25 19:02:31,,,,
884,517586,Susanna,Gilardoni,Ability to manage and resolve conflicts, Regulatory Affairs,2016-10-17 14:44:29,1995-11-26 11:11:58,,,,
885,308041,Federico,Salvo,Strong research and information-gathering skills, Mobile App Development,2019-10-20 06:05:16,1995-04-23 02:00:37,,,,
886,58008,Pierpaolo,Pigafetta,Ability to manage cross-functional projects, Vendor Management,2022-05-06 19:11:26,1997-01-19 19:45:34,Associate of Nursing (AN),2023-01-18 05:45:01,,
887,523189,Calogero,Cristoforetti,Ability to identify and mitigate risks, Learning and Development,2022-10-30 10:29:05,1997-08-17 05:49:05,,,,
888,828693,Melania,Parini,Strong decision-making abilities, Change Management,2015-05-17 05:17:55,1999-05-27 23:07:39,,,,
889,903220,Nedda,Salieri,Strong understanding of organizational development principles, Data Science,2017-03-06 16:46:46,2002-03-12 01:54:06,,,,
890,194072,Piergiorgio,Fattori,Strong decision-making abilities, Manufacturing,2020-02-23 18:30:53,2001-05-29 14:22:58,,,,
891,968399,Lucrezia,Lombroso,Bachelor's degree in a relevant field, Cloud Services,2015-08-18 08:14:57,2000-11-10 19:01:05,,,,
892,6734,Tullio,Dossi,Experience with data privacy and security measures, Event Management,2015-02-24 06:26:19,1995-05-03 14:59:36,Master of Education (MEd),2016-01-21 01:36:44,Anthropology,2023-05-29 11:53:35.000000
893,418510,Amadeo,Rubbia,Strong understanding of inventory management principles, Intellectual Property,2016-10-20 02:58:36,1998-04-12 21:23:34,Certificate in Web Development,2019-09-24 16:00:47,Environmental Science,2026-04-05 21:23:34.725762
894,157669,Carlo,Trombetta,Bachelor's degree in a relevant field, International Business,2019-10-02 12:50:35,1997-01-13 03:57:14,Bachelor of Engineering (BE),2020-06-02 19:16:23,,
895,953092,Agnolo,Falcone,Ability to develop and maintain vendor relationships, Risk Management,2019-05-07 12:16:32,2001-09-01 23:16:07,Master of Business Administration (MBA),2023-01-23 02:34:04,,
896,266468,Silvestro,Bernetti,Experience with data modeling and database management, Change Management,2016-10-01 03:36:01,1996-06-05 17:01:52,Doctor of Philosophy (PhD),2017-06-22 02:23:31,,
897,324227,Marta,Pisani,Proactive and self-motivated, Workplace Culture,2018-07-25 17:53:49,2000-07-04 17:22:04,Associate of Social Work (ASW),2020-07-06 04:32:39,,
898,612729,Natalia,Moneta,Ability to develop and implement training programs, Facilities Planning,2019-01-06 13:10:33,1999-02-22 02:14:07,,,,
899,294423,Milena,Mercati,Strong organizational and time management skills, Social Media Management,2020-01-28 03:42:29,1996-02-29 09:37:04,,,,
900,897983,Lamberto,Cicala,Ability to meet deadlines, Brand Management,2015-05-10 13:58:36,2001-12-12 20:31:53,,,,
901,49257,Aurora,Greco,Ability to meet deadlines, Customer Service,2020-11-27 10:31:36,1999-10-29 04:54:09,,,,
902,21626,Erika,Marcacci,Ability to conduct market research and analysis, Innovation,2021-09-18 18:52:28,2001-03-26 10:13:49,,,,
903,308602,Pier,Aldobrandi,Strong understanding of organizational development principles, Supplier Relations,2015-04-25 06:31:29,1998-10-21 03:51:28,Associate of Science (AS),2020-05-18 06:50:29,,
904,191510,Marco,Ferrucci,Attention to detail and accuracy, Graphic Design,2016-08-04 00:47:01,2002-05-12 06:15:12,,,,
905,902348,Puccio,Pisacane,Strong project coordination and scheduling skills, Competitive Intelligence,2018-11-07 12:32:21,2002-07-24 15:46:18,,,,
906,725477,Gianpietro,Trillini,Ability to work independently, Corporate Governance,2023-05-07 23:19:07,1996-03-10 16:41:34,,,,
907,45804,Giuliano,Pugliese,Strong understanding of data governance principles, Mobile App Development,2018-05-09 04:52:18,1993-08-27 06:47:15,Diploma in Business Administration,2017-09-11 22:59:42,,
908,699729,Gianmarco,Cociarelli,Ability to develop and implement strategic plans, Human Resources,2016-08-24 21:31:12,2001-12-12 11:40:51,Bachelor of Education (BEd),2022-07-28 02:42:28,,
909,105183,Luigina,Roth,Analytical and critical thinking skills, Web Development,2016-02-15 18:04:47,1995-02-12 20:30:37,,,,
910,14645,Mirko,Scotto,Bachelor's degree in a relevant field, Outsourcing,2020-12-12 09:36:08,1995-07-10 03:45:34,,,,
911,683708,Ludovica,Gianetti,Experience with data modeling and database management, Project Management,2017-08-15 02:47:04,1996-07-23 13:09:06,,,,
912,966851,Lolita,Cattaneo,Knowledge of social media platforms and marketing techniques, Product Support,2020-02-11 22:11:24,2001-08-25 06:50:50,,,,
913,997327,Nino,Errigo,Project management skills, Marketing,2018-04-30 14:55:54,1997-12-30 21:24:02,Certificate in Digital Marketing,2021-10-24 14:59:35,,
914,80119,Stefano,Rismondo,Knowledge of marketing strategies and techniques, Outsourcing,2017-01-12 03:42:27,1996-03-10 10:49:59,,,,
915,705567,Carla,Palazzo,Excellent customer service skills, Performance Management,2016-04-07 01:41:03,2002-06-22 02:42:03,,,,
916,911149,Daniele,Canali,Knowledge of financial modeling and forecasting techniques, Change Management,2021-02-09 07:46:18,2001-12-24 15:20:07,,,,
917,266661,Gianna,Sagese,"Strong understanding of data privacy regulations (e.g., GDPR)", Corporate Strategy,2017-03-13 21:52:46,2001-04-08 02:52:35,Bachelor of Education (BEd),2021-11-14 18:22:16,,
918,399866,Stefani,Luria,Ability to work with cross-functional teams, Facilities Planning,2016-11-21 10:08:10,1993-12-11 18:21:42,,,,
919,607142,Monica,Rossi,Experience with product lifecycle management, Quality Assurance,2020-01-29 19:26:42,1997-02-27 16:46:52,,,,
920,252413,Michelangelo,Desio,Experience with data modeling and database management, Marketing,2022-02-06 12:26:38,2000-11-28 18:24:37,,,,
921,562908,Beppe,Gulotta,Knowledge of talent management and succession planning, IT,2022-10-28 10:11:17,1994-05-20 23:38:06,,,,
922,581204,Lucia,Armani,Knowledge of marketing strategies and techniques, Engineering Design,2021-06-27 17:31:26,1996-07-23 21:52:19,Bachelor of Nursing (BN),2020-05-22 16:47:31,,
923,174109,Aurora,Roth,Experience with customer relationship management (CRM) systems, Corporate Training,2018-11-24 18:18:37,2001-03-31 09:08:12,,,,
924,366396,Viridiana,Dandolo,Strong financial analysis and forecasting skills, Intellectual Property,2016-06-29 06:17:17,1994-06-26 07:52:15,,,,
925,322422,Orlando,Montessori,Strong interpersonal skills, Sales Operations,2017-02-04 00:56:16,1995-11-04 02:10:48,Bachelor of Business Administration (BBA),2015-11-08 10:20:11,,
926,700468,Dolores,Galvani,Experience with product lifecycle management, Public Relations,2017-11-22 17:53:01,1997-07-17 18:45:30,Diploma in Electrical Engineering,2023-04-16 10:31:59,,
927,501789,Girolamo,Vigorelli,Experience with data governance and compliance frameworks, Research and Innovation,2021-09-02 10:29:40,2002-01-13 01:55:24,,,,
928,196303,Giada,Rossetti,Strong negotiation and conflict resolution skills, Cybersecurity,2022-03-01 03:29:22,1994-03-11 18:11:49,,,,
929,88001,Irma,Gravina,Experience with data governance and compliance frameworks, Learning and Development,2019-03-18 17:41:17,1999-08-13 00:44:40,Associate of Engineering (AE),2022-02-06 16:10:33,,
930,696807,Fabia,Gritti,Strong attention to quality and accuracy, Event Management,2015-07-29 18:11:21,1996-01-16 18:43:59,,,,
931,891904,Griselda,Curiel,Ability to manage product launches and releases, Talent Acquisition,2017-08-19 04:05:29,2002-12-18 17:02:07,,,,
932,628381,Bartolomeo,Faranda,Excellent customer service skills, Market Forecasting,2020-11-18 22:50:20,2000-09-23 05:58:04,Diploma in Hospitality Management,2023-04-27 02:49:58,,
933,279308,Fabrizia,Ricolfi,Strong data analysis and interpretation skills, Project Management,2016-02-07 18:52:10,1998-07-14 01:09:17,,,,
934,1496,Biagio,Inzaghi,Knowledge of regulatory requirements and compliance, Learning and Development,2018-10-04 14:24:23,1996-11-16 18:42:34,Doctor of Medicine (MD),2020-12-09 21:02:49,,
935,886903,Angelica,Bocelli,Attention to detail and accuracy, Incident Response,2018-04-25 17:48:03,2000-10-22 02:59:53,Diploma in Hospitality Management,2020-11-07 11:26:46,,
936,797512,Federigo,Rocca,"Strong understanding of data privacy regulations (e.g., GDPR)", Legal,2019-12-02 09:26:57,1999-04-15 12:12:41,,,,
937,593832,Lucia,Magnani,Strong attention to quality and accuracy, Administration,2015-04-19 05:27:51,1995-04-01 06:36:37,Associate of Science (AS),2020-06-30 07:02:40,,
938,95676,Orlando,Pulci,"Strong understanding of IT service management frameworks (e.g., ITIL)", Inventory Management,2015-10-22 07:54:24,1996-10-21 16:27:25,Bachelor of Education (BEd),2023-01-25 04:48:48,Neuroscience,2024-10-14 16:27:25.904080
939,679256,Marta,Bragadin,Ability to work with cross-functional teams, Financial Planning and Analysis,2022-09-19 00:12:28,2002-09-07 02:13:07,Doctor of Law (JD),2023-01-10 21:32:45,,
940,698387,Isabella,Monaco,Ability to develop and maintain vendor relationships, Change Management,2018-02-08 03:24:09,2002-11-11 18:58:01,,,,
941,536283,Enzo,Cheda,Knowledge of human resources policies and procedures, Web Development,2018-06-20 19:00:31,1997-04-30 13:03:29,Doctor of Law (JD),2017-06-25 13:33:19,,
942,568232,Cipriano,Trapanese,Ability to conduct competitive intelligence and analysis, Workplace Culture,2015-01-24 02:25:44,1997-10-06 19:57:55,Diploma in Electrical Engineering,2021-03-04 18:01:12,,
943,703300,Fulvio,Accardo,Strong research and information-gathering skills, Corporate Social Responsibility,2018-07-14 17:51:38,1999-06-06 19:19:40,,,,
944,170101,Eleanora,Ferraris,Knowledge of talent management and succession planning, Risk Management,2018-01-15 12:30:00,1998-11-25 20:25:59,,,,
945,996261,Federico,Lollobrigida,Knowledge of talent management and succession planning, Compliance,2015-09-04 17:29:27,2000-01-18 02:11:46,,,,
946,407250,Alina,Ossola,Ability to develop and execute social media strategies, Social Media Management,2020-04-14 04:32:37,1996-09-16 01:40:33,,,,
947,833538,Arsenio,Asmundo,Experience with product lifecycle management, Strategic Partnerships,2021-02-17 16:17:03,2000-10-08 10:30:31,Master of Fine Arts (MFA),2021-01-27 05:51:36,,
948,429579,Antonia,Guinizzelli,Creative thinking and innovation, Web Development,2016-08-28 06:12:59,1994-11-08 01:20:58,Master of Computer Science (MCS),2015-04-17 22:17:19,Chemistry,2022-12-16 19:29:20.000000
949,72156,Achille,Udinesi,Ability to develop and deliver effective presentations, Supply Chain,2021-06-13 10:05:07,1996-05-23 16:52:58,,,,
950,282359,Paola,Pavarotti,Ability to conduct market research and analysis, Event Management,2019-11-18 18:01:10,2002-12-08 23:56:22,,,,
951,220483,Fabio,Ovadia,"Knowledge of sustainability reporting frameworks (e.g., GRI)", Claims and Insurance,2016-06-05 23:25:20,1999-09-16 02:04:52,,,,
952,296869,Monica,Carpaccio,Knowledge of employee performance evaluation techniques, Outsourcing,2020-01-19 11:50:48,2001-03-04 19:20:00,,,,
953,334402,Jolanda,Borghese,Strong understanding of inventory management principles, Competitive Intelligence,2017-12-23 21:05:36,1995-07-30 07:22:13,,,,
954,763421,Calogero,Fracci,Analytical and critical thinking skills, Training and Development,2016-11-18 00:23:11,2000-12-14 05:23:26,Associate of Science (AS),2021-05-01 17:56:50,,
955,722917,Napoleone,Mortati,Experience with data governance and compliance frameworks, Software Engineering,2017-05-09 02:20:41,1997-02-06 01:10:51,,,,
956,953223,Giulietta,Donati,Strong written and verbal communication skills, Customer Service,2020-12-12 13:18:14,2000-09-24 14:03:28,,,,
957,389150,Silvia,Raurica,Experience with budget management, Risk Management,2018-12-05 12:47:43,1994-04-13 23:11:54,,,,
958,130795,Gino,Galuppi,Knowledge of financial modeling and forecasting techniques, Risk Management,2021-11-19 00:19:20,2001-04-19 11:42:22,,,,
959,188944,Dante,Petrocelli,Knowledge of talent acquisition and recruitment strategies, Corporate Governance,2023-05-13 08:06:30,2001-02-27 23:07:14,Master of Engineering (ME),2021-02-27 14:32:00,,
960,814803,Fiorino,Ubaldi,Experience with quality assurance and control processes, Competitive Intelligence,2017-04-02 09:32:29,1998-05-11 16:42:57,,,,
961,801345,Adelmo,Tremonti,Experience with customer relationship management (CRM) systems, Manufacturing,2023-04-06 22:20:57,2002-09-15 00:58:47,Associate of Nursing (AN),2022-09-23 03:37:18,,
962,228381,Ettore,Fornaciari,Adaptability and flexibility, Data Management,2018-04-21 19:51:52,1993-11-18 22:55:23,Bachelor of Fine Arts (BFA),2021-12-31 20:24:10,,
963,261315,Alfredo,Guidotti,Strong attention to quality and accuracy, Network Operations,2015-04-24 03:31:52,1999-07-18 22:11:58,Diploma in Hospitality Management,2023-06-17 16:52:18,Computer Science,2027-07-11 22:11:58.308704
964,119792,Adriana,Persico,Problem-solving and troubleshooting skills, Mobile App Development,2021-03-19 23:29:47,2000-05-11 08:32:01,Diploma in Hospitality Management,2023-01-25 18:37:44,,
965,713984,Angelica,Valguarnera,Ability to develop and deliver effective presentations, Legal,2018-03-10 02:54:52,1995-09-01 19:13:21,Associate of Social Work (ASW),2016-09-05 15:23:15,,
966,171267,Marisa,Altera,Project management skills, Customer Service,2022-03-25 01:57:22,1996-02-29 07:40:02,Associate of Social Work (ASW),2020-04-07 04:00:04,English Literature,2024-02-22 07:40:02.912139
967,484963,Maura,Fibonacci,Knowledge of intellectual property laws and regulations, Legal,2015-05-07 18:53:28,1997-06-13 04:06:05,,,,
968,848521,Antonina,Guarana,Experience with data modeling and database management, Administration,2022-06-22 16:10:41,1998-05-10 23:36:39,Doctor of Law (JD),2020-06-17 05:48:57,Psychology,2026-05-03 23:36:39.891759
969,64251,Valerio,Babato,Experience with budget management, Supply Chain,2018-11-07 03:13:51,1999-09-14 14:31:20,,,,
970,686820,Stefania,Ponti,Ability to manage cross-functional projects, Finance,2015-05-18 14:55:30,1998-08-27 18:13:20,,,,
971,750543,Lidia,Balla,Knowledge of market trends and competitive analysis, Talent Acquisition,2020-03-11 03:01:44,2002-02-28 14:40:24,,,,
972,714291,Laureano,Norbiato,Knowledge of agile software development methodologies, Business Analytics,2022-06-03 13:10:07,1994-04-09 22:14:34,,,,
973,653196,Sergius,Falloppio,Strong data analysis and interpretation skills, Compliance,2016-04-10 09:16:03,1995-10-08 20:09:10,,,,
974,149979,Roberta,Sokolov,Ability to develop and maintain vendor relationships, Content Creation,2016-06-04 00:16:34,1998-05-18 14:01:09,Bachelor of Science (BS),2022-05-27 05:26:13,,
975,524250,Riccardo,Casalodi,Master's degree or higher, Software Testing,2018-03-31 08:02:17,1998-07-03 02:26:24,Bachelor of Business Administration (BBA),2019-07-27 01:46:07,,
976,216201,Adele,Calarco,Knowledge of social media platforms and marketing techniques, Corporate Social Responsibility,2016-12-27 00:38:06,1995-01-13 06:28:08,Master of Science (MS),2019-01-04 19:54:02,,
977,932439,Luigina,Pepe,Analytical and critical thinking skills, Information Security,2016-04-17 16:12:24,2001-12-15 10:10:07,,,,
978,18825,Tonino,Mondaini,Experience with ERP systems and implementation, Supply Chain,2019-02-18 15:32:20,1998-05-05 16:30:48,,,,
979,926078,Viridiana,Campise,Knowledge of financial modeling and forecasting techniques, Marketing,2022-02-25 21:43:21,2001-03-21 12:38:43,Diploma in Hospitality Management,2023-05-15 17:07:01,,
980,716809,Tonia,Nolcini,Adaptability and flexibility, Cloud Services,2020-07-20 18:55:07,2002-07-04 09:15:30,Bachelor of Nursing (BN),2023-04-23 01:12:31,Sociology,2030-06-27 09:15:30.787607
981,35978,Ezio,Ludovisi,Ability to develop and implement diversity and inclusion initiatives, Information Security,2017-04-17 08:12:43,1993-11-28 08:49:05,Associate of Applied Science (AAS),2016-04-27 23:44:03,,
982,783524,Romeo,Sibilia,Knowledge of talent acquisition and recruitment strategies, Business Intelligence,2019-07-28 12:53:22,1998-12-10 22:19:45,,,,
983,351385,Irma,Treccani,Experience with product lifecycle management, Information Security,2015-09-28 15:02:31,1995-12-15 23:06:31,Master of Nursing (MN),2021-02-10 01:25:33,,
